Sample,Naive_007,Naive_027,Naive_071,Naive_109,Naive_127,Naive_139,QC_001,QC_003,QC_005,Semi_025,Semi_045,Semi_061,Semi_091,Semi_143,Semi_157
Label,Naive,Naive,Naive,Naive,Naive,Naive,QC,QC,QC,Semi_immue,Semi_immue,Semi_immue,Semi_immue,Semi_immue,Semi_immue
91.5049__153.78,7646368.3045,7530117.68819,8108118.5446,0,6850874.25424,7297491.88578,285673.71391,745250.05689,877200.28214,9063800.53409,272247.11731,8147417.33456,8252211.12633,15315925.30331,11108679.06184
91.505__24.51,167239.68394,225694.45596,87608.71254,213117.11509,149529.55236,273814.5204,545642.48483,643952.75706,526620.83766,238418.52836,122551.90512,255242.88487,130122.13464,345268.33506,316016.46925
91.5052__137.36,302267.29693,0,14460975.57339,13562953.59202,11228341.54611,7221489.26273,41653125.7257,15662426.85821,32491350.78451,29057.46501,0,6717704.97442,0,0,0
91.9803__114.15,6694070.66767,5224222.2828,4193228.81067,4858296.29608,6545922.92507,4697327.16203,3431518.19056,3297205.75838,2872475.38261,2674771.9453,2409080.77864,2536946.43262,1991019.1716,3848958.63242,3140560.45214
92.4706__86.3,0,0,0,0,0,0,634132.7882,264254.64229,320016.19906,0,0,0,0,112333.13337,173489.96222
92.576__175.37,0,159435.57485,12204.49997,0,108747.92204,12721.37709,0,14567.5265,0,161865.075,397631.9159,1316087.98092,447469.66304,553375.37806,883798.47839
92.9812__113.99,2485080.75204,1912368.02338,1402802.58396,1711602.58671,2138246.40171,1864942.02647,1131622.35774,1156026.39191,966513.50011,750930.33799,725409.19508,897208.85286,556190.58158,1331437.64826,871897.9846
93.045__164.26,886049.36436,393327.13237,313503.12489,0,1126976.36265,186476.79239,5061782.76654,4845929.15298,4288388.79172,1522520.65868,1010025.62309,1952348.89773,1292871.872,480372.43574,2068376.57778
93.0701__23.91,32234.1556,60060.6211,22281.41579,91468.09733,31259.60448,57801.17781,55596.81706,56574.35554,37418.46178,205316.68728,173225.43199,314588.18375,137803.90732,143043.28587,248825.31409
93.491__89.15,0,0,0,0,0,0,373872.98256,159160.97975,267674.90354,269996.67597,184223.40931,156406.63864,120394.14621,310671.13272,394931.60867
93.7663__128.73,347190.28836,314242.86611,450192.27846,190473.66609,156253.08614,619491.8982,0,0,0,32695.30749,83870.71157,51887.62195,103317.31906,0,35957.46934
93.9277__127.51,0,88168.20302,36184.84626,0,494353.90355,0,376651.0261,465257.94872,282800.66461,281705.88658,370837.33969,497719.82135,369520.28986,751196.79475,393233.50271
94.0453__140.76,47982922.95847,15353142.86379,12719010.62944,0,24424225.70313,17222799.09258,2178931245.70915,1198244762.13819,1826136260.04896,6747296.00173,3770095.92482,8328858.93536,2782812.72512,50248749.73438,64302896.65605
94.0453__160.39,56770523.88969,35404013.81167,28598838.7314,43765183.82671,43440055.59689,31741082.30338,284608322.53286,178350474.97682,203257377.98833,116996725.91087,63974373.17476,31349834.86562,1379132.85295,129716462.49541,101243970.92121
94.0654__85.07,78089.83111,157848.57971,408918.12317,0,144426.05261,132731.66655,11778211.38379,11423717.9362,11565459.69356,3351756.86975,1005493.58542,1743446.09053,2786123.01368,4918821.25923,10249344.88981
94.0654__57.67,317981.20454,380742.21448,548618.63713,670619.47522,345541.18421,458276.95848,781886.05568,908161.11997,905056.44968,1605935.26069,1258911.19909,1364610.4291,1373091.23655,1233982.78221,744758.30938
94.2667__148.92,476662.08603,593187.76724,732703.8115,712388.81162,514478.10636,691762.63564,0,0,0,486396.96382,337457.91806,255601.72298,464577.34143,631259.99483,506503.02097
94.5457__153.2,4765442.73565,1434847.62022,730117.96996,0,439112.90017,1151550.61541,30164913.16884,20603439.78991,25620845.82328,11490406.80105,5132043.59537,8232062.92064,2696916.95544,10429567.94315,11786600.06932
94.5458__139.8,6648467.99551,1422865.72453,1369767.97873,29972.09174,4188806.63465,1660853.47222,201616860.71895,250722764.22443,239184236.41721,4966220.45112,2710754.11926,5358414.65213,1288069.36819,4606420.66414,10950139.86274
95.0441__139.9,7118623.45316,1859133.24981,797094.65292,0,448987.11932,1238927.30579,354192341.07701,306956080.12116,295151363.64612,672568.45894,57750.41073,1164736.37977,84893.62814,7222701.61748,10022631.40669
95.0441__152.39,4814821.33825,1720049.22174,1023014.9787,0,388740.50437,1195268.80913,40619915.78337,25338034.62204,31671183.99644,13184475.69506,6581558.44903,10117795.08795,2798935.17067,8293719.45417,14537760.324
95.0494__96.11,0,0,6640.97435,0,0,8246.49586,557787.23008,579377.70077,571155.89784,983271.60059,821324.60964,994506.1436,1075755.27703,197560.33606,643433.69087
95.0494__109.9,474857.00627,464800.52861,574369.62744,698140.24787,614538.73345,537461.28236,750650.36972,713016.64173,706381.27125,597402.98658,726683.32368,810529.06475,910831.06954,462853.66093,880323.82942
95.0606__163.01,4477789.2179,2519754.52852,1766810.99689,3241890.20899,2520437.87829,1588849.04368,9996396.0654,8666863.21975,7975929.02744,5173170.34873,6127285.32801,5969694.30119,6126698.35345,14260010.97423,7924756.30969
95.0858__24.09,103087.41703,198103.25963,90196.29189,211231.64573,104461.88291,205232.37931,291296.97613,297272.33542,292554.7299,559251.14918,354976.40787,690044.3729,330165.24506,269958.87153,594219.5581
95.5458__140.35,208007.21574,31579.99373,22460.1016,0,122611.27027,0,31205479.39688,25574604.71075,22741978.59811,0,14541.37512,0,0,152313.47416,314825.34367
96.0446__86.78,30489.28074,9878.92862,2166461.63145,544722.67398,288662.1315,694181.8541,8192939.25411,9861765.50764,9263949.22944,1891005.44921,762528.16309,4417730.88014,129284.94514,5754216.20163,4321833.71207
96.0446__26.12,0,0,0,0,0,0,662159.64836,630120.35582,625482.25751,223929.0055,0,45319.87393,59159.94432,74773.45038,324692.47617
96.0447__38.55,0,0,0,0,0,0,445863.18179,419557.75955,458719.81318,243107.8609,27647.5538,144624.25644,123419.13202,50666.43074,79565.49469
96.922__71.92,38536572.35521,45940184.14335,36221615.10287,39342034.51269,42408436.30855,31365117.16151,231228028.30052,217615608.75134,215194107.23172,100483889.25492,90927602.17392,95590841.24491,96837818.17274,119613644.54232,118970791.96977
97.0399__31.76,2703.89533,2331.88113,0,0,22469.36252,2155.42676,1567521.53872,1490816.70742,1510478.75022,630788.11067,41622.88218,286824.94188,494414.70366,656263.6863,946116.47113
97.0651__24.09,154240.9753,231443.47893,89720.64369,236215.79686,116379.55704,239752.31677,60856.9964,71222.74381,72497.21934,661078.47735,309690.84186,797161.77463,391936.44673,319774.85336,616062.99224
97.0763__167.98,1013379.1317,304269.86086,224617.64827,0,1469643.1013,326243.50999,2928534.5091,3219521.31564,2470270.64646,961092.76074,495315.77071,2710838.50191,936743.70853,402605.37391,2179143.538
97.0763__57.86,562499.19697,711545.80183,633113.28509,688003.00782,452452.79458,599772.67569,137988.08006,164970.67294,238016.32922,1390651.58608,1224119.13977,1383918.16794,1499632.09822,1367139.01027,1250314.52485
97.5146__244.2,31633521.02476,33691836.38987,26773709.07253,0,2366064.74987,32548974.89243,31896888.72443,31955483.54029,30607922.63976,32075655.45967,35894308.31296,25573700.27189,34065857.56963,30020650.86807,27172743.56185
97.5146__176.5,136305757.35954,142914853.76279,122740127.76673,0,91522211.95102,147212698.51409,51711902.58919,65812136.0894,69563655.94301,103571897.60543,188279139.81326,138983621.26695,167334426.07745,143696131.29279,95443002.22076
97.5146__203.82,247161130.04403,308028296.93436,110496627.81312,235566513.78389,106882106.5507,34907994.93689,69373126.86662,296143467.66771,75264321.08479,122780379.72658,187344435.1458,414808000.43833,131032258.80701,111718909.97594,272492222.45428
97.5146__90.03,55287927.25313,51427561.30544,93250886.29208,0,15400050.4428,52864616.40381,61256529.79731,116241836.2284,111362837.29505,111932698.56971,95302730.74523,63061015.00527,59399364.02116,334361.36349,83799129.29038
97.5146__24.72,4256436.32203,4426103.36326,2871575.71415,0,2605197.6031,5189286.57662,6190761.76235,6889727.14553,5792137.82071,4703482.50131,2941491.70781,4686440.55931,2577757.06731,3876395.49803,4956364.85663
97.9691__110.64,1928296.53843,2215733.64821,2307206.65585,39609.44492,1982308.56621,2193673.12612,2513050.26736,3389180.55217,3467366.47758,3649836.00852,3260609.12728,3143212.517,3269630.85306,2143799.54915,3600078.80633
97.9805__204.45,20192699.84445,41598713.26193,25491696.96861,9995367.38192,27637632.34967,3204367.92518,13341039.47127,16499363.65902,19963790.90292,68863720.51469,96010607.15813,23628267.38335,24394020.48639,22846402.62229,9094986.68423
97.9805__140.06,39326829.89112,27495744.91586,40630566.10185,28560744.8296,24115136.16709,12103899.35283,0,313695045.44693,196046652.69735,10160104.97702,26171363.85527,0,7048682.22083,0,61885098.79549
97.9916__158.69,54028028.01119,10543985.42381,40502196.57847,70994218.60373,56034637.19396,10181708.06611,134722758.91223,130880117.748,75926253.59347,4015733.20275,72362876.11415,63746725.76407,9050081.15804,61322808.20874,9063508.09067
